Fecha,Comentario,Estrellas,Likes
15 ago. 2022,"En mi opinión anda un 50 del 100, se traba y se toquetea solo de vez en cuando lo que no debería porque es ""nuevo"".",Calificación 1 de 5,5
10 jun. 2023,"Malo, muy malo, tenemos dos y los dos salieron iguales.",Calificación 1 de 5,4
02 jun. 2023,"Una decepción es este teléfono, te pones a mirar videos y al tiempo de estar mirando empieza a fallar el táctil, solo se mete en cualquier parte sin que toque la pantalla, muy malo.",Calificación 1 de 5,4
02 nov. 2023,Falla el táctil.,Calificación 1 de 5,3
07 oct. 2022,Necesito que me lo cambien. Hoy se apagó y no anda más. No recibí la factura. Necesito que me digan como hacer para que me lo cambien. Gracias. 15 días de uso.,Calificación 1 de 5,3
01 oct. 2022,Malo me pidio actualizar las notificaciones. Y no lo puedo apagar sube el volumen y no baja el volumen. No quise la garganta porque nunca tuve problemas con la marca samsung. No lo recomiendo. Lo restablecido de fabrica y sigue igualmente. Mala la compra.,Calificación 1 de 5,3
26 sep. 2022,Me dejo de andar los botones y el censor de auricular.,Calificación 1 de 5,3
28 jul. 2022,Funciona mal la camara. Cuando haces un video la camara titila y cuando dacas fotos salen con un color verdoso.,Calificación 1 de 5,3
03 oct. 2022,Hace 30 dias compre este celular y ya me funciona mal. No funciona el boton de prendido ni el plug de carga. Mercado libre no me devuelve el dinero no se hace cargo de la falla del producto. Nunca mas compro por esta plataforma.,Calificación 1 de 5,3
30 ago. 2022,Se recalienta con facilidad. También tuve problemas con la bateria.,Calificación 1 de 5,3
06 ago. 2022,"Tiene carga lenta, necesitas 6 7 hs para que cargue. Y en ese mismo tiempo se descargada.",Calificación 1 de 5,3
01 nov. 2023,El móvil me vino con problemas en el táctil. Básicamente me vendieron un celular roto.,Calificación 1 de 5,2
21 sep. 2023,Muy malo. Lento. La pantalla tactil se rompió despues de unos meses de uso.,Calificación 1 de 5,2
07 ago. 2023,"Fue una gran compra por 6 meses, entonces comenzó a fallar la pantalla, entre otras cosas a pesar de darle un uso normal. Nunca había tenido dificultades con ningún producto de mercado libre, pero siempre pague las garantías como un gil por las dudas. Fue grande mi sorpresa cuando para utilizar la garantía me exigían pagar casi una cuarta parte del valor del aparato, sin saber si me iban a solucionar el problema. Las compras son a riesgo, no gasten dinero extra en seguros al pedo.",Calificación 1 de 5,2
01 jun. 2023,Lo devolví porque me vino fallado.,Calificación 1 de 5,2
16 nov. 2022,"Marítimo, no recomiendo la compra, se tilda, la pantalla se desliza sola,. Se abren aplicaciones solas, es una pena,. Siempre. E. Comprado por mercado libre mis celulares, jamás tuve problema, el. Ultimo fue un moto e5,. Espero q tenga arreglo,. De lo contrario chau samsung.",Calificación 1 de 5,2
06 oct. 2022,"El celular deja de funcionar, dejan de andar las teclas del costado y hay que reiniciarlo. Un mala compra esta vez, un bajón.",Calificación 1 de 5,2
16 oct. 2023,Me duro 2 meses. Una pérdida de dinero.,Calificación 1 de 5,1
13 sep. 2023,Se rompio a los 8 meses de uso. Cabe destacar que el uso era de segundo telefono practicamente nulo.,Calificación 1 de 5,1
22 ago. 2023,Lo compre hace 6 meses y de un momento a otro no prendió más … lo tengo que llevar al técnico a ver qué me dice.,Calificación 1 de 5,1
11 ago. 2023,Siempre se tildó. Me dijeron que vino con una plaqueta quemada malisimo.,Calificación 1 de 5,1
02 oct. 2024,"Lo cuidé como oro. Al año se rompió el módulo, justo una semana antes de que se termine la garantía. Sobrecalienta. Tiene menús donde nunca encontrás las configuraciones que buscás. Para poder escribir estoy todo el tiempo blpqueando y desbloqueando para que se destrabe dl módulo. La pero inversión de mi vida. Pensé que samsung era serio. Un asco.",Calificación 1 de 5,0
08 sep. 2024,Salió con defecto este modelo en particular. Un perno.,Calificación 1 de 5,0
07 ago. 2024,El peor producto que me compre en menos de 6 meses ya necesita una ayuda para abrir una app.,Calificación 1 de 5,0
25 jun. 2024,Malísimo se apagó a los dos días de recibirlo y nunca más funcionó.,Calificación 1 de 5,0
23 may. 2024,No lo recomiendo. Se tilda todo el tiempo.,Calificación 1 de 5,0
15 may. 2024,Lo compre para mi hermano y anda de diez.,Calificación 1 de 5,0
15 may. 2024,"El teléfono no anda, la caja vino abierta. Y sin cargador. Lo probé con varios cargadores y no prende.",Calificación 1 de 5,0
12 feb. 2024,"No funciona bien, se queda sin sonido y se tilda constantemente, es una buens marca , no se qué hacer.",Calificación 1 de 5,0
11 ene. 2024,"Una garompa como todos los gama baja de samsung, se traba al mes.",Calificación 1 de 5,0
05 ene. 2024,Muy mala calidad.,Calificación 1 de 5,0
